Handle,Title,Body HTML,Type,Tags,Status,Published,URL,Custom Collections,Smart Collections,Image Src,Image Alt Text,Option1 Name,Variant Image,Variant Price,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: custom.how_to_use [multi_line_text_field],Metafield: custom.ingredients [multi_line_text_field],Metafield: custom.essences_inside_pictures [list.file_reference],Metafield: custom.essences_inside_names [list.single_line_text_field],Metafield: custom.essences_inside_descriptors [list.single_line_text_field],Metafield: custom.summary_blurb [multi_line_text_field],Metafield: custom.smells_like [multi_line_text_field],Metafield: judgeme.widget [string]
Pink Prickly Pear Flower Elixir,Pink Prickly Pear Flower Elixir,"Description Use Ingredients **IMPORTANT** Hello, flower lover! This link is exclusively for Flowerevolution members subscribed in January 2025. If you're not part of the program, please avoid using this link. Should you have any questions, feel free to reach out to us at flowerevolution@lotuswei.com – we're happy to assist you! Delicious honey elixir infused with flower essences. 5 drops, 5 times a day, under the tongue. Pink Prickly Pear Cactus boasts one of the most intensely bright pink flowers found in the Sonoran desert! Unlike other Opuntia species, it does not have spines on its pads. Also known as the Beavertail Prickly Pear, it magnifies our ability for enjoyment and beauty, even in harsh environments. It amplifies our sense of wonder, curiosity and adventure. It encourages us to keep digging beyond what’s apparent for inherent beauty, profound meaning & flashes of insight. USE: Enjoy 5 drops sublingually 5 times each day regularly until bottle is finished; or put a dropperful in your water bottle each morning and drink throughout the day. GET CREATIVE: Morning coffee, party punch, restaurants, water bottle, child’s water or juice, pet’s water, cocktails. FEEL A DIFFERENCE: Most people feel a dramatic difference in their everyday state of mind within 2-3 days, with a cumulative effect over time. If used regularly, bottle lasts 3-4 weeks, enough time to experience a significant shift in mood and everyday life. Safe (& excellent) for children over 12 months of age. INGREDIENTS: Purified water (Aqua), Ethically-Sourced Honey, *Vitis vinifera (grape) alcohol, Opuntia basilaris (Pink Prickly Pear) flower essence, Achillea millefolium (Yarrow) flower essence and Nelumba nucifera (Lotus) flower essence. *Certified Organic",,SEARCHANISE_IGNORE,Active,True,https://www.lotuswei.com/products/pink-prickly-pear-flower-elixir,,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/PinkPricklyPear-Elixir_Flowers.jpg?v=1721489354,,Title,,$45,,,,,,,,,,Customer Reviews Be the first to write a review Write a review 0% (0) 0% (0) 0% (0) 0% (0) 0% (0)
Wild Snapdragon Flower Elixir,Wild Snapdragon Flower Elixir,"Description Use Ingredients **IMPORTANT** Hello, flower lover! This link is exclusively for Flowerevolution members subscribed in December 2024. If you're not part of the program, please avoid using this link. Should you have any questions, feel free to reach out to us at flowerevolution@lotuswei.com – we're happy to assist you! Delicious honey elixir infused with flower essences. 5 drops, 5 times a day, under the tongue. Resembling a tower of dragon heads, or fighting fish with long tails, this fierce little wildflower cuts through timidity, shyness and holding back. If words have a tendency to get stuck in our throats or bellies, Wild Snapdragon encourages us to be direct, blunt, and totally ourselves. We can be joyfully confident and utterly shameless in our bodies and our expression. We can effortlessly voice what we want and what we don’t want. MAGNIFIES: Deep confidence; Bold expression & unabashed speech; Say it like it is - dragon-like quality; Shamelessness: freedom to be yourself DISSOLVES: Fears of speaking up, holding back, verklempt; Words stuck in your throat and gut; Shame, timidity, shyness, feeling meek, small or quiet; Not asking for what you want USE: Enjoy 5 drops sublingually 5 times each day regularly until bottle is finished; or put a dropperful in your water bottle each morning and drink throughout the day. GET CREATIVE: Morning coffee, party punch, restaurants, water bottle, child’s water or juice, pet’s water, cocktails. FEEL A DIFFERENCE: Most people feel a dramatic difference in their everyday state of mind within 2-3 days, with a cumulative effect over time. If used regularly, bottle lasts 3-4 weeks, enough time to experience a significant shift in mood and everyday life. Safe (& excellent) for children over 12 months of age. INGREDIENTS: Purified water (Aqua), Ethically-Sourced Honey, *Vitis vinifera (grape) alcohol, Linaria dalmatica (Wild Snapdragon) flower essence, Achillea millefolium (Yarrow) flower essence and Nelumba nucifera (Lotus) flower essence. *Certified Organic",,SEARCHANISE_IGNORE,Active,True,https://www.lotuswei.com/products/wild-snapdragon-flower-elixir,,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/WildSnapdragon-Elixir_flowers.jpg?v=1721489178,,Title,,$45,,,,,,,,,,Customer Reviews Be the first to write a review Write a review 0% (0) 0% (0) 0% (0) 0% (0) 0% (0)
"Blue Formosum Orchid Petal Earrings, Sterling Silver - Medium","Blue Formosum Orchid Petal Earrings, Sterling Silver - Medium","Blue Formosum Orchid petals dipped in resin! Real orchid petals; tear-drop shape, from white at the very top to bright blue at the smooth edges. You'll get so many compliments on these - they add such a gorgeous pop of color to your face + brighten everyone's day. Mother Nature is wildly beautiful; no pair is perfectly identical and all of them are eye-catching. Approximately 1.75 inches high and 1.25 inches wide. E arring hooks are made of Hypoallergenic Steel .",Jewelry,flower fashion,Active,True,https://www.lotuswei.com/products/blue-formosum-orchid-petal-earrings-sterling-silver-medium,"gifts, flower-fashion","low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/WEB1000-2180201_1024x1024_a79386dc-52d1-463d-a34c-e8a3d33c491e.jpg?v=1701737588,,Title,,$47,,,,,,,,,,Customer Reviews Be the first to write a review Write a review 0% (0) 0% (0) 0% (0) 0% (0) 0% (0)
Wood Dragon Finale Planner & Journal,Wood Dragon Finale Planner & Journal,This Wood Dragon year is all about becoming a beacon - a new kind of leader. This 6-month planner & journal will be your companion for the Wood Dragon year finale: August 2024 - January 2025 Dragon year is the most auspicious time to focus on being – and doing – your best! What you do right now - this year - impacts the next 20 years of your life!,Books,,Active,True,https://www.lotuswei.com/products/wood-dragon-finale-planner-journal,all,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/1_e67a8c42-db89-4a0a-9b35-48345ba9cc01.png?v=1721699808,,Title,,$45,,"A beautiful 6-month calendar, centered around the lessons of the flowers featured in our monthly Flowerevolution program!  Includes reflection questions that elicit self-arising insights, guidance on living in tune with the Lunar Cycle, space for intention setting & reflections and more!",,,,,,"A beautiful 6-month journal & planner to help you organize your priorities, deepen your awareness of flower essence-inspired insights and catalyze your greatest impact.",,"Customer Reviews Based on 3 reviews Write a review 100% (3) 0% (0) 0% (0) 0% (0) 0% (0) L L.L. A beautiful daily essential I love planners to write notes to myself and  to remember what I did and experienced!  It's part of my morning routine and I often look at it throughout the day to jot down ideas and thoughts. Life can be so busy - I find that if I don't write things down, weeks can go by and I can completely forget so much. The Lotus Wei planner is my absolute favorite -with great ""planner"" aspects in addition to a lot of white space for wishes, hopes and dreams. As a longtime Lotus Wei fan and member of the Flower Evolution program  it's been so helpful to have this planner with information on the flowers we are working with every month, and for me to 'real time' jot down a-has and insights. Thanks for this beautiful offering! Thank you for sharing your wonderful feedback!! M Melissa P. Focus on Me I love that the Wood Dragon planner coincides with the Flower Evolution. It’s helping me go inward and learn the effects of the flower essences in my life. It gives me space to acknowledge my growth and insights as they happen. I hope this planner will continue on with each season. Thank you so much for sharing! We are thrilled to hear you're having positive experiences with the journal!! E Elena B. Wonderful Journal | Creative prompts Loving my wood dragon finale journal. I'm in a big transition season, and lately, instead of more chocolate, i'm writing in this notebook to meet myself where I am. Thank you, Katie. Thank you, Lotus Wei! We are thrilled to hear you are loving the Wood Dragon Journal as much as we are!"
Wood Dragon Finale Planner & Journal,Wood Dragon Finale Planner & Journal,,Books,,Active,True,https://www.lotuswei.com/products/wood-dragon-finale-planner-journal,all,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/2_bb880ff4-d2e5-458e-8d4d-5bc8bb7717d9.png?v=1721699808,,,,,,,,,,,,,,
Wood Dragon Finale Planner & Journal,Wood Dragon Finale Planner & Journal,,Books,,Active,True,https://www.lotuswei.com/products/wood-dragon-finale-planner-journal,all,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/3_dfc3199e-44ff-4376-8bd6-31f32fd9d868.png?v=1721699808,,,,,,,,,,,,,,
Wood Dragon Finale Planner & Journal,Wood Dragon Finale Planner & Journal,,Books,,Active,True,https://www.lotuswei.com/products/wood-dragon-finale-planner-journal,all,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/4_5a0d426c-ff07-48c0-ae23-947300eb546e.png?v=1721699808,,,,,,,,,,,,,,
Wood Dragon Finale Planner & Journal,Wood Dragon Finale Planner & Journal,,Books,,Active,True,https://www.lotuswei.com/products/wood-dragon-finale-planner-journal,all,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/5_db57d504-35a7-4d6e-866a-bd9cab5dfc75.png?v=1721699808,,,,,,,,,,,,,,
Wood Dragon Finale Planner & Journal,Wood Dragon Finale Planner & Journal,,Books,,Active,True,https://www.lotuswei.com/products/wood-dragon-finale-planner-journal,all,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/7_1a52d2a7-b30a-429f-88b2-2f1016f96994.png?v=1721699808,,,,,,,,,,,,,,
Wood Dragon Finale Planner & Journal,Wood Dragon Finale Planner & Journal,,Books,,Active,True,https://www.lotuswei.com/products/wood-dragon-finale-planner-journal,all,"low-stock-products-all-products, elixirs, all-products",https://cdn.shopify.com/s/files/1/0223/5181/files/6_181df1ba-02b7-472d-91be-ff5182759444.png?v=1721699808,,,,,,,,,,,,,,
